Table with column headers in row 3,,,,
State Postal Code,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,Sanders Unified District,"5,159",965,308
AZ,Santa Cruz Elementary District,"1,777",368,59
AZ,Santa Cruz Valley Unified District,"22,302","4,336",863
AZ,Santa Cruz Valley Union High School District,"17,633",644,105
AZ,Scottsdale Unified District,"244,061","29,402","1,680"
AZ,Sedona-Oak Creek Joint Unified District,"17,978","1,004",176
AZ,Seligman Unified District,"1,372",122,62
AZ,Sentinel Elementary District,123,23,3
AZ,Show Low Unified District,"17,782","2,783",631
AZ,Sierra Vista Unified District,"49,085","7,581","1,391"
AZ,Skull Valley Elementary District,535,58,22
AZ,Snowflake Unified District,"13,155","2,919",657
AZ,Solomon Elementary District,"2,714",364,47
AZ,Somerton Elementary District,"28,510","3,862",957
AZ,Sonoita Elementary District,"1,824",110,15
AZ,St. David Unified District,"3,708",553,95
AZ,St. Johns Unified District,"4,061",884,218
AZ,Stanfield Elementary District,"4,545",537,118
AZ,Sunnyside Unified District,"89,868","17,281","4,365"
AZ,Superior Unified School District,"3,205",422,101
AZ,Tanque Verde Unified District,"11,518","1,649",67
AZ,Tempe School District,"164,856","12,418","2,280"
AZ,Tempe Union High School District,"329,625","14,594","1,338"
AZ,Thatcher Unified District,"8,277","1,769",237
AZ,Tolleson Elementary District,"17,543","2,749",552
AZ,Tolleson Union High School District,"205,584","13,284","1,791"
AZ,Toltec Elementary District,"15,987","1,611",483
AZ,Tombstone Unified District,"7,140",852,246
AZ,Tonto Basin Elementary District,"1,646",104,35
AZ,Topock Elementary District,"2,474",139,37
AZ,Tuba City Unified District,"14,957","3,085","1,024"
AZ,Tucson Unified District,"487,844","67,057","12,771"
AZ,Union Elementary District,"19,227","3,366",505
AZ,Vail Unified District,"69,522","14,211",709
AZ,Valentine Elementary District,222,31,15
AZ,Valley Union High School District,"3,393",148,38
AZ,Vernon Elementary District,"2,095",204,64
AZ,Walnut Grove Elementary District,177,6,2
AZ,Washington Elementary District,"254,810","29,162","5,939"
AZ,Wellton Elementary District,"3,159",233,45
AZ,Wenden Elementary District,493,48,14
AZ,Whiteriver Unified District,"14,059","3,394","1,295"
AZ,Wickenburg Unified District,"16,873","1,456",173
AZ,Willcox Unified District,"7,206","1,265",285
AZ,Williams Unified District,"6,104",883,219
AZ,Williamson Valley Elementary School District,745,60,15
AZ,Wilson Elementary District,"4,642",570,206
AZ,Window Rock Unified District,"10,679","2,160",639
AZ,Winslow Unified District,"11,142","2,085",618
AZ,Yarnell Elementary District,"1,158",77,35
AZ,Young Elementary School District,863,80,25
AZ,Yucca Elementary District,746,70,38
AZ,Yuma Elementary District,"102,766","10,636","1,557"
AZ,Yuma Union High School District,"203,304","12,066","1,855"
AR,Alma School District,"15,854","3,027",552
AR,Alpena School District,"2,842",515,105
AR,Arkadelphia School District,"15,306","2,040",443
AR,Armorel School District,"1,418",291,37
AR,Ashdown School District,"8,721","1,387",323
AR,Atkins Public Schools,"6,566","1,175",244
AR,Augusta School District,"2,915",438,157
AR,Bald Knob School District,"6,754","1,190",285
AR,Barton-Lexa School District,"2,301",410,150
AR,Batesville School District,"20,622","3,613",632
AR,Bauxite School District,"7,122","1,328",141
AR,Bay School District,"3,059",570,86
AR,Bearden School District,"2,861",503,101
AR,Beebe School District,"18,699","3,537",574
AR,Benton School District,"33,009","5,973",650
AR,Bentonville Public Schools,"117,754","22,614","1,223"
AR,Bergman School District,"5,207",993,160
AR,Berryville Public Schools,"11,197","2,091",366
AR,Bismarck Public Schools,"6,466",985,159
AR,Blevins School District,"3,162",531,185
AR,Blytheville School District,"13,942","2,623",940
AR,Booneville School District,"7,472","1,189",336
AR,Bradford School District,"2,666",483,97
AR,Brinkley School District,"3,571",589,239
AR,Brookland School District,"12,963","2,646",234
AR,Bryant Public Schools,"57,940","10,749","1,062"
AR,Buffalo Island Central School District,"4,604",808,166
AR,Cabot Public Schools,"56,137","10,826","1,216"
AR,Caddo Hills School District,"3,384",522,153
AR,Calico Rock School District,"3,777",370,90
AR,Camden Fairview School District,"16,589","2,635",682
AR,Carlisle School District,"3,949",634,100
AR,Cave City School District,"8,479","1,433",341
AR,Cedar Ridge School District,"5,398","1,012",178
AR,Cedarville School District,"4,802",797,162
AR,Centerpoint School District,"5,184",981,262
AR,Charleston School District,"4,933",884,128
AR,Clarendon School District,"3,073",481,159
AR,Clarksville School District,"14,598","2,678",564
AR,Cleveland County School District,"4,603",752,167
AR,Clinton School District,"8,456","1,322",304
AR,Concord Public Schools,"4,137",634,115
AR,Conway Public Schools,"79,095","11,780","1,719"
AR,Corning Public Schools,"6,089",964,249
AR,Cossatot River School District,"4,799",922,249
AR,Cotter School District,"4,541",722,143
AR,County Line School District,"3,326",561,138
AR,Cross County School District,"3,320",538,159
AR,Crossett School District,"10,320","1,741",482
AR,Cutter-Morning Star School District,"3,787",649,111
AR,Danville School District,"3,504",629,138
AR,Dardanelle Public Schools,"10,194","1,753",356
AR,De Queen School District,"12,286","2,578",678
AR,DeWitt School District,"7,752","1,239",295
AR,Decatur School District,"3,696",708,120
AR,Deer/Mount Judea School District,"2,085",301,88
AR,Dermott School District,"3,333",468,187
AR,Des Arc Public Schools,"3,517",553,113
AR,Dierks School District,"2,506",424,101
AR,Dover School District,"8,121","1,432",232
AR,Drew Central School District,"6,013",910,194
AR,Dumas School District,"10,332","1,176",423
AR,Earle School District,"2,334",456,220
AR,East End School District,"3,898",650,112
AR,East Poinsett County School District,"3,122",556,144
AR,El Dorado School District,"24,110","4,301",990
AR,Elkins School District,"5,863","1,117",130
AR,Emerson-Taylor-Bradley School District,"5,214",813,223
AR,England School District,"3,753",603,128
AR,Eureka Springs School District,"8,678",818,188
AR,Farmington School District,"13,608","2,583",193
AR,Fayetteville School District,"104,250","13,495","1,672"
AR,Flippin School District,"7,592","1,029",224
AR,Fordyce School District,"4,407",713,176
AR,Foreman School District,"2,552",438,97
AR,Forrest City School District,"19,039","2,779","1,165"
AR,Fort Smith Public Schools,"92,181","15,627","2,916"
AR,Fouke School District,"5,617","1,127",244
AR,Fountain Lake School District,"16,372","1,362",219
AR,Genoa Central School District,"4,669",906,211
AR,Gentry Public Schools,"8,787","1,666",198
AR,Glen Rose School District,"5,471",952,131
AR,Gosnell School District,"4,441",890,192
AR,Gravette School District,"17,424","2,393",224
AR,Green Forest School District,"7,736","1,564",317
AR,Greenbrier School District,"18,221","3,742",342
AR,Greene County Technical School District,"20,715","3,644",656
AR,Greenland Public Schools,"6,488","1,069",158
AR,Greenwood School District,"21,445","4,010",340
AR,Gurdon School District,"3,740",663,159
AR,Guy-Perkins Schools,"2,539",455,75
AR,Hackett Public Schools,"5,526",931,132
AR,Hamburg School District,"7,842","1,303",339
AR,Hampton School District,"3,684",506,92
AR,Harmony Grove School District,"4,357",733,146
AR,Harmony Grove School District,"6,036","1,022",91
AR,Harrisburg School District,"6,575","1,153",260
AR,Harrison School District,"21,620","3,529",520
AR,Hazen School District,"4,410",669,134
AR,Heber Springs School District,"11,882","1,677",269
AR,Hector School District,"3,717",730,148
AR,Helena-West Helena School District,"10,282","1,986",955
AR,Hermitage School District,"2,288",433,121
AR,Highland School District,"12,785","1,794",455
AR,Hillcrest School District,"3,765",702,212
AR,Hope School District,"13,528","2,535",699
AR,Horatio School District,"3,539",753,194
AR,Hot Springs School District,"29,813","3,864","1,068"
AR,Hoxie School District,"3,482",579,155
AR,Huntsville School District,"16,408","2,847",611
AR,Izard Cty Consolidated Schools,"5,040",727,219
AR,Jackson County School District,"4,125",746,170
AR,Jacksonville North Pulaski School District,"38,849","6,715","1,817"
AR,Jasper School District,"5,213",766,204
AR,Jessieville School District,"7,342",774,135
AR,Jonesboro Public Schools,"38,378","6,850","1,931"
AR,Junction City School District,"2,981",522,87
AR,Kirby School District,"2,491",410,108
AR,Lafayette County School District,"4,416",624,209
AR,Lake Hamilton School District,"27,057","4,484",791
AR,Lakeside School District,"7,169","1,244",396
AR,Lakeside School District,"18,788","2,891",353
AR,Lamar School District,"7,171","1,245",245
AR,Lavaca Public Schools,"4,991",894,104
AR,Lawrence County School District,"7,850","1,197",248
AR,Lead Hill School District,"3,116",446,108
AR,Lee County School District,"8,364","1,066",468
AR,Lincoln School District,"6,980","1,313",235
AR,Little Rock School District,"181,118","29,772","7,684"
AR,Lonoke School District,"9,558","1,592",327
AR,Magazine Schools,"2,504",416,104
AR,Magnet Cove School District,"3,099",514,66
AR,Magnolia School District,"19,019","2,823",854
AR,Malvern Special School District,"18,010","2,281",490
AR,Mammoth Spring Schools,"3,023",489,107
AR,Manila School District,"4,863",904,146
AR,Mansfield School District,"5,374",991,168
AR,Marion School District,"21,215","4,306",883
AR,Marked Tree School District,"3,223",519,138
AR,Marmaduke School District,"3,919",718,157
AR,Marvell School District,"2,783",476,196
AR,Mayflower School District,"6,195",910,123
AR,Maynard School District,"3,362",665,154
AR,McCrory School District,"2,945",488,135
AR,McGehee School District,"5,819","1,128",409
AR,Melbourne School District,"5,278",786,187
AR,Mena Public Schools,"12,664","2,071",477
AR,Midland School District,"3,925",723,160
AR,Mineral Springs School District,"3,267",575,154
AR,Monticello School District,"10,157","1,689",448
AR,Mount Ida School District,"3,860",453,133
AR,Mount Vernon-Enola School District,"3,272",601,127
AR,Mountain Home School District,"34,043","4,473",756
AR,Mountain Pine School District,"4,167",692,149
AR,Mountain View School District,"12,363","1,797",530
AR,Mountainburg Schools,"4,241",684,176
AR,Mulberry School District,"3,849",622,107
AR,Nashville School District,"9,001","1,728",325
AR,Nemo Vista School District,"2,268",367,88
AR,Nettleton School District,"29,661","4,574",941
AR,Nevada School District,"2,531",416,100
AR,Newport School District,"11,032","1,434",385
AR,Norfork Schools,"3,879",552,124
AR,North Little Rock School District,"53,546","8,992","2,673"
AR,Omaha School District,"2,802",428,94
AR,Osceola School District,"6,685","1,234",409
AR,Ouachita River School District,"3,977",578,131
AR,Ouachita School District,"2,001",320,63
AR,Ozark Mountain School District,"4,710",820,215
AR,Ozark School District,"10,313","1,724",360
AR,Palestine-Wheatley School District,"1,818",297,80
AR,Pangburn School District,"3,321",556,125
AR,Paragould School District,"22,357","4,003",818
AR,Paris School District,"6,696",947,210
AR,Parkers Chapel School District,"2,726",602,79
AR,Pea Ridge School District,"10,701","2,319",176
AR,Perryville School District,"4,996",797,156
